lat,lon,hectares,stage_of_control
51.39505386,-89.63250732,5.846591,Unknown
37.58906937,-81.47647858,,Unknown
39.1912117,-87.52802277,,Unknown
39.19213104,-87.53616333,,Unknown
39.18387222,-87.53083038,,Unknown
39.1879921,-87.52809906,,Unknown
50.83771896,-78.76338196,,Unknown
50.84096909,-78.76473236,,Unknown
50.84007263,-78.7701416,,Unknown
50.83917618,-78.77553558,,Unknown
51.35284805,-78.33921051,,Unknown
51.3537178,-78.33380127,,Unknown
51.35198212,-78.34461212,,Unknown
51.25513077,-78.62207794,,Unknown
51.30701828,-78.57998657,,Unknown
51.54626083,-78.20863342,,Unknown
51.55835724,-78.21932983,,Unknown
51.60995102,-78.06710052,,Unknown
51.60910034,-78.07253265,,Unknown
51.60824585,-78.07795715,,Unknown
51.60049057,-78.32326508,,Unknown
51.59962845,-78.32868958,,Unknown
50.00605011,-90.05976105,5.846591,Unknown
50.00388718,-90.10594177,5.846591,Unknown
50.00165939,-90.11381531,5.846591,Unknown
50.24730301,-89.2857666,5.846591,Unknown
50.24531174,-89.29309082,5.846591,Unknown
50.27047729,-89.25785828,5.846591,Unknown
50.26847076,-89.26526642,5.846591,Unknown
50.6280899,-88.9761734,5.846591,Unknown
50.69823074,-89.1131134,5.846591,Unknown
50.69631958,-89.12031555,5.846591,Unknown
50.65993881,-89.42029572,0.0,Unknown
51.16025543,-87.82230377,,Unknown
51.19839478,-87.79058838,,Unknown
51.35678482,-87.39801025,,Unknown
50.85254669,-89.7394104,5.846591,Unknown
51.48593903,-87.85548401,,Unknown
51.48998642,-87.858078,,Unknown
51.17157364,-89.73631287,,Unknown
51.17595291,-89.73918915,,Unknown
51.17396164,-89.74652863,,Unknown
51.36758804,-89.68899536,4.01136351,Unknown
51.95170593,-87.69364929,,Unknown
51.71760178,-88.71910095,,Unknown
51.71592331,-88.72561646,,Unknown
51.77400589,-92.08905029,,Unknown
53.60238266,-95.45646667,,Unknown
53.61044312,-95.45059967,,Unknown
53.60554886,-95.46585846,,Unknown
55.68773651,-105.65131378,,Unknown
62.67656326,-105.97688293,,Unknown
62.68255997,-105.97857666,,Unknown
63.20343399,-113.17153168,,Unknown
65.25457764,-116.84544373,4.16477251,Unknown
31.94728088,-85.84765625,,Unknown
30.92791557,-84.61618042,,Unknown
31.9047184,-83.96173859,,Unknown
32.07676315,-81.307724,,Unknown
26.69460106,-78.06954956,,Unknown
45.13985443,-75.78385925,,Unknown
44.17605209,-80.31620789,,Unknown
43.89024734,-91.0925293,,Unknown
39.17716599,-96.99971008,,Unknown
41.55738449,-93.99800873,,Unknown
50.1394043,-78.93119812,,Unknown
48.14503098,-97.64013672,,Unknown
50.84924698,-78.78768158,,Unknown
50.8488121,-78.79564667,,Unknown
64.76864624,-115.33748627,0.0,Unknown
64.78603363,-115.29947662,4.16477251,Unknown
64.78312683,-115.30584717,4.16477251,Unknown
64.75698853,-115.3629303,4.16477251,Unknown
50.19180679,-89.35979462,5.846591,Unknown
50.19101715,-89.36511993,5.846591,Unknown
64.97748566,-115.31365967,0.0,Unknown
